Gene,Title,Provider_institution,Description,PI,Authors,Assay_ID,Data_Format,Data_Repository,Data_Link,Endpoint,Endpoint_detection,Release_Date,Repository,Dataset_ID,Status_Milestone_NanoBRET_tracer,Link_Milestone_NanoBRET_tracer,Link_Milestone_NanoBRET_assay,Status_Milestone_NanoBRET_assay
CDK10,NanoLuc®-fused CDK10,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,,,,Synapse,https://www.synapse.org/#!Synapse:syn18435660,,,,Synapse,,Complete,https://www.synapse.org/#!Synapse:syn18435660,https://www.synapse.org/#!Synapse:syn18435660,Complete
CDK11A,NanoLuc®-fused CDK11A,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,,,,Synapse,https://www.synapse.org/#!Synapse:syn18435664,,,,Synapse,,Complete,https://www.synapse.org/#!Synapse:syn18435664,https://www.synapse.org/#!Synapse:syn18435664,Complete
CDK11B,NanoLuc®-fused CDK11B,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,,,,Synapse,https://www.synapse.org/#!Synapse:syn18435655,,,,Synapse,,Complete,https://www.synapse.org/#!Synapse:syn18435655,https://www.synapse.org/#!Synapse:syn18435655,Complete
CDK12,NanoLuc®-fused CDK12,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,,,,Synapse,https://www.synapse.org/#!Synapse:syn18435662,,,,Synapse,,Complete,https://www.synapse.org/#!Synapse:syn18435662,https://www.synapse.org/#!Synapse:syn18435662,Complete
CDK13,NanoLuc®-fused CDK13,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,,,,Synapse,https://www.synapse.org/#!Synapse:syn18435661,,,,Synapse,,Complete,https://www.synapse.org/#!Synapse:syn18435661,https://www.synapse.org/#!Synapse:syn18435661,Complete
CDK14,NanoLuc®-fused CDK14,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,,,,Synapse,https://www.synapse.org/#!Synapse:syn18435663,,,,Synapse,,Complete,https://www.synapse.org/#!Synapse:syn18435663,https://www.synapse.org/#!Synapse:syn18435663,Complete
CDK16,NanoLuc®-fused CDK16,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,,,,Synapse,https://www.synapse.org/#!Synapse:syn18435667,,,,Synapse,,Complete,https://www.synapse.org/#!Synapse:syn18435667,https://www.synapse.org/#!Synapse:syn18435667,Complete
CDK17,NanoLuc®-fused CDK17,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,,,,Synapse,https://www.synapse.org/#!Synapse:syn18435666,,,,Synapse,,Complete,https://www.synapse.org/#!Synapse:syn18435666,https://www.synapse.org/#!Synapse:syn18435666,Complete
CDK18,NanoLuc®-fused CDK18,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,,,,Synapse,https://www.synapse.org/#!Synapse:syn18435665,,,,Synapse,,Complete,https://www.synapse.org/#!Synapse:syn18435665,https://www.synapse.org/#!Synapse:syn18435665,Complete
CLK4,NanoLuc®-fused CLK4,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,,,,Synapse,https://www.synapse.org/#!Synapse:syn18435654,,,,Synapse,,Complete,https://www.synapse.org/#!Synapse:syn18435654,https://www.synapse.org/#!Synapse:syn18435654,Complete
